genre1,genre2,years_together,first_year,last_year
bubblegum dance,contemporary country,1,2006,2006
bubblegum dance,country,1,2000,2000
bubblegum dance,crunk,1,2000,2000
bubblegum dance,deep latin christian,1,2000,2000
bubblegum dance,deep pop r&b,1,2000,2000
bubblegum dance,detroit hip hop,2,2000,2006
bubblegum dance,dfw rap,1,2023,2023
bubblegum dance,east coast hip hop,2,2000,2006
bubblegum dance,electropop,1,2023,2023
bubblegum dance,florida rap,1,2023,2023
bubblegum dance,g funk,1,2000,2000
bubblegum dance,gangster rap,1,2006,2006
bubblegum dance,girl group,1,2000,2000
bubblegum dance,glam metal,1,2006,2006
bubblegum dance,gospel,1,2000,2000
bubblegum dance,hip hop,3,2000,2023
bubblegum dance,hip pop,1,2000,2000
bubblegum dance,latin,2,2000,2006
bubblegum dance,neo mellow,1,2006,2006
bubblegum dance,neo soul,1,2000,2000
bubblegum dance,nu metal,1,2006,2006
bubblegum dance,permanent wave,1,2000,2000
bubblegum dance,philly rap,1,2023,2023
bubblegum dance,pop,2,2006,2023
bubblegum dance,r&b,1,2006,2006
bubblegum dance,reggaeton,1,2023,2023
cali rap,-,2,2018,2020
cali rap,alternative r&b,1,2014,2014
cali rap,art pop,1,2014,2014
cali rap,atl hip hop,1,2020,2020
cali rap,bmore,1,2015,2015
cali rap,boy band,2,2018,2020
cali rap,broadway,1,2014,2014
cali rap,brostep,3,2015,2020
cali rap,canadian contemporary r&b,1,2020,2020
cali rap,canadian hip hop,2,2018,2020
cali rap,canadian pop,2,2015,2018
cali rap,ccm,1,2019,2019
cali rap,chicago drill,1,2020,2020
cali rap,chicago rap,2,2018,2020
cali rap,complextro,1,2018,2018
cali rap,contemporary country,1,2018,2018
cali rap,country rap,1,2020,2020
cali rap,crunk,2,2015,2018
cali rap,detroit hip hop,2,2014,2020
cali rap,dfw rap,1,2020,2020
cali rap,dirty south rap,1,2014,2014
cali rap,east coast hip hop,2,2006,2020
cali rap,edm,3,2014,2019
cali rap,electropop,2,2014,2015
cali rap,emo rap,2,2018,2019
cali rap,florida rap,1,2019,2019
cali rap,folk-pop,1,2015,2015
cali rap,francoton,1,2018,2018
cali rap,g funk,1,2014,2014
cali rap,glam metal,1,2006,2006
cali rap,hip hop,1,2020,2020
cali rap,hollywood,1,2019,2019
cali rap,house,1,2014,2014
cali rap,houston rap,1,2015,2015
cali rap,indie folk,1,2015,2015
cali rap,indie pop,2,2015,2018
cali rap,indie r&b,1,2018,2018
cali rap,k-pop,1,2020,2020
cali rap,latin,2,2018,2020
cali rap,latin viral pop,1,2014,2014
cali rap,metropopolis,2,2014,2018
cali rap,modern alternative rock,1,2015,2015
cali rap,neo mellow,1,2006,2006
cali rap,nu metal,1,2006,2006
cali rap,nyc rap,1,2014,2014
cali rap,pinoy hip hop,1,2015,2015
cali rap,pop,1,2020,2020
cali rap,pop rap,2,2014,2018
cali rap,r&b,1,2014,2014
cali rap,rap,1,2020,2020
cali rap,rap conscient,1,2020,2020
cali rap,reggae fusion,1,2015,2015
cali rap,reggaeton,1,2018,2018
cali rap,scorecore,1,2015,2015
cali rap,trap music,2,2018,2020
cali rap,tropical house,1,2014,2014
canadian contemporary r&b,-,6,2015,2023
canadian contemporary r&b,adult standards,1,2021,2021
canadian contemporary r&b,afro dancehall,2,2016,2021
canadian contemporary r&b,album rock,1,2015,2015
canadian contemporary r&b,alternative r&b,2,2017,2021
canadian contemporary r&b,art pop,1,2022,2022
canadian contemporary r&b,atl hip hop,6,2015,2023
canadian contemporary r&b,atl trap,1,2023,2023
canadian contemporary r&b,australian country,2,2017,2021
canadian contemporary r&b,australian dance,2,2015,2016
canadian contemporary r&b,australian pop,1,2017,2017
canadian contemporary r&b,big room,1,2015,2015
canadian contemporary r&b,bmore,1,2015,2015
canadian contemporary r&b,boy band,5,2015,2021
canadian contemporary r&b,british soul,3,2015,2017
canadian contemporary r&b,brostep,4,2015,2021
canadian contemporary r&b,cali rap,2,2015,2018
canadian contemporary r&b,canadian hip hop,6,2016,2023
canadian contemporary r&b,canadian pop,4,2015,2018
canadian contemporary r&b,chicago drill,1,2020,2020
canadian contemporary r&b,chicago rap,4,2016,2021
canadian contemporary r&b,colombian pop,1,2021,2021
canadian contemporary r&b,complextro,3,2016,2018
canadian contemporary r&b,conscious hip hop,3,2016,2018
canadian contemporary r&b,contemporary country,4,2015,2018
canadian contemporary r&b,country rap,2,2020,2021
canadian contemporary r&b,crunk,3,2015,2021
canadian contemporary r&b,dance pop,2,2017,2018
canadian contemporary r&b,deep groove house,1,2015,2015
canadian contemporary r&b,detroit hip hop,3,2017,2020
canadian contemporary r&b,dfw rap,4,2016,2020
canadian contemporary r&b,dirty south rap,2,2016,2017
canadian contemporary r&b,east coast hip hop,2,2015,2020
canadian contemporary r&b,edm,4,2015,2018
canadian contemporary r&b,electro,2,2016,2017
canadian contemporary r&b,electropop,5,2015,2023
canadian contemporary r&b,emo,1,2015,2015
canadian contemporary r&b,emo rap,2,2017,2018
canadian contemporary r&b,escape room,2,2021,2022
canadian contemporary r&b,florida rap,3,2017,2023
canadian contemporary r&b,folk-pop,1,2015,2015
canadian contemporary r&b,francoton,2,2017,2018
canadian contemporary r&b,gangster rap,2,2015,2016
canadian contemporary r&b,gauze pop,1,2021,2021
canadian contemporary r&b,ghanaian hip hop,1,2015,2015
canadian contemporary r&b,hip hop,5,2017,2023
canadian contemporary r&b,house,1,2016,2016
canadian contemporary r&b,houston rap,1,2015,2015
canadian contemporary r&b,indie folk,1,2015,2015
canadian contemporary r&b,indie pop,3,2015,2018
canadian contemporary r&b,indie r&b,1,2018,2018
canadian contemporary r&b,k-pop,2,2020,2021
canadian contemporary r&b,latin,4,2015,2020
canadian contemporary r&b,metropopolis,1,2018,2018
canadian contemporary r&b,miami hip hop,1,2016,2016
canadian contemporary r&b,modern alternative rock,2,2015,2016
canadian contemporary r&b,modern reggae,1,2017,2017
canadian contemporary r&b,modern rock,3,2016,2018
canadian contemporary r&b,neo mellow,2,2015,2016
canadian contemporary r&b,permanent wave,1,2017,2017
canadian contemporary r&b,philly rap,2,2017,2023
canadian contemporary r&b,pinoy hip hop,2,2015,2016
canadian contemporary r&b,pop,3,2017,2023
canadian contemporary r&b,pop punk,2,2016,2017
canadian contemporary r&b,pop rap,1,2018,2018
canadian contemporary r&b,pop rock,2,2015,2016
canadian contemporary r&b,rap,2,2017,2021
canadian contemporary r&b,rap conscient,1,2020,2020
canadian contemporary r&b,reggae fusion,1,2015,2015
canadian contemporary r&b,reggaeton,3,2018,2023
canadian contemporary r&b,scorecore,1,2015,2015
canadian contemporary r&b,trap music,2,2017,2018
canadian contemporary r&b,uk funky,1,2016,2016
canadian contemporary r&b,viral trap,1,2015,2015
canadian country,acoustic pop,1,2003,2003
canadian country,alaska indie,1,2003,2003
canadian country,alternative hip hop,1,2003,2003
canadian country,australian pop,1,2003,2003
canadian country,battle rap,1,2003,2003
canadian country,blues-rock,1,2003,2003
canadian country,british soul,1,2003,2003
canadian country,canadian pop,1,2003,2003
canadian country,chicago rap,1,2003,2003
canadian country,chicano rap,1,2003,2003
canadian country,conscious hip hop,1,2003,2003
canadian country,crunk,1,2003,2003
canadian country,dancehall,1,2003,2003
canadian country,detroit hip hop,1,2003,2003
canadian country,europop,1,2003,2003
canadian country,folk rock,1,2003,2003
canadian country,folk-pop,1,2003,2003
canadian country,funk,1,2003,2003
canadian country,idol,1,2003,2003
canadian hip hop,-,8,2012,2022
canadian hip hop,acoustic pop,3,2009,2014
canadian hip hop,adult standards,2,2010,2021
canadian hip hop,afro dancehall,1,2016,2016
canadian hip hop,album rock,1,2015,2015
canadian hip hop,alternative dance,1,2013,2013
canadian hip hop,alternative metal,2,2009,2010
canadian hip hop,alternative r&b,4,2012,2017
canadian hip hop,alternative rock,1,2010,2010
canadian hip hop,art pop,3,2013,2022
canadian hip hop,atl hip hop,3,2009,2015
canadian hip hop,atl trap,1,2023,2023
canadian hip hop,australian country,3,2013,2021
canadian hip hop,australian dance,3,2012,2015
canadian hip hop,australian hip hop,1,2014,2014
canadian hip hop,australian pop,3,2014,2017
canadian hip hop,baroque pop,1,2019,2019
canadian hip hop,bass trap,1,2013,2013
canadian hip hop,bergen indie,1,2012,2012
canadian hip hop,big room,2,2014,2015
canadian hip hop,bmore,1,2015,2015
canadian hip hop,boy band,7,2014,2021
canadian hip hop,british soul,5,2011,2017
canadian hip hop,broadway,1,2014,2014
canadian hip hop,brostep,4,2015,2021
canadian hip hop,cali rap,3,2014,2019
canadian hip hop,canadian contemporary r&b,2,2015,2022
canadian hip hop,canadian pop,6,2009,2019
canadian hip hop,candy pop,2,2013,2014
canadian hip hop,ccm,1,2019,2019
canadian hip hop,celtic rock,1,2013,2013
canadian hip hop,chamber pop,1,2013,2013
canadian hip hop,chicago drill,1,2020,2020
canadian hip hop,chicago rap,7,2009,2018
canadian hip hop,colombian pop,3,2009,2021
canadian hip hop,comic,1,2013,2013
canadian hip hop,complextro,4,2014,2018
canadian hip hop,conscious hip hop,5,2012,2019
canadian hip hop,contemporary country,5,2009,2018
canadian hip hop,country rap,2,2019,2020
canadian hip hop,crunk,5,2014,2022
canadian hip hop,cubaton,1,2014,2014
canadian hip hop,dance pop,1,2014,2014
canadian hip hop,deep groove house,1,2015,2015
canadian hip hop,deep pop r&b,1,2009,2009
canadian hip hop,detroit hip hop,6,2009,2017
canadian hip hop,dfw rap,2,2016,2017
canadian hip hop,dirty south rap,6,2009,2019
canadian hip hop,east coast hip hop,3,2009,2020
canadian hip hop,edm,8,2011,2019
canadian hip hop,electro,3,2013,2017
canadian hip hop,electropop,5,2009,2023
canadian hip hop,emo,4,2009,2015
canadian hip hop,emo rap,2,2017,2019
canadian hip hop,escape room,2,2021,2022
canadian hip hop,florida rap,4,2017,2023
canadian hip hop,folk rock,1,2011,2011
canadian hip hop,folk-pop,2,2013,2015
canadian hip hop,francoton,2,2017,2018
canadian hip hop,g funk,4,2009,2014
canadian hip hop,gangster rap,3,2009,2016
canadian hip hop,garage rock,2,2009,2010
canadian hip hop,ghanaian hip hop,1,2015,2015
canadian hip hop,hip hop,5,2009,2020
canadian hip hop,hip pop,2,2009,2013
canadian hip hop,hollywood,1,2019,2019
canadian hip hop,house,2,2014,2016
canadian hip hop,houston rap,1,2015,2015
canadian hip hop,indie folk,1,2015,2015
canadian hip hop,indie pop,2,2015,2017
canadian hip hop,indie pop rap,1,2009,2009
canadian hip hop,indie poptimism,1,2014,2014
canadian hip hop,indie r&b,1,2018,2018
canadian hip hop,la indie,1,2013,2013
canadian hip hop,latin,5,2011,2020
canadian hip hop,latin viral pop,2,2014,2022
canadian hip hop,metropopolis,3,2014,2019
canadian hip hop,miami hip hop,1,2016,2016
canadian hip hop,modern alternative rock,4,2012,2016
canadian hip hop,modern reggae,1,2017,2017
canadian hip hop,modern rock,3,2009,2016
canadian hip hop,nashville indie,1,2013,2013
canadian hip hop,neo mellow,6,2009,2016
canadian hip hop,neo-singer-songwriter,1,2015,2015
canadian hip hop,nyc rap,2,2009,2014
canadian hip hop,permanent wave,3,2012,2017
canadian hip hop,pinoy hip hop,2,2015,2016
canadian hip hop,pop,2,2009,2014
canadian hip hop,pop punk,2,2016,2017
canadian hip hop,pop rap,2,2014,2018
canadian hip hop,pop rock,4,2011,2016
canadian hip hop,post-teen pop,2,2009,2010
canadian hip hop,r&b,2,2010,2014
canadian hip hop,rap,3,2017,2021
canadian hip hop,reggae fusion,2,2009,2015
canadian hip hop,reggaeton,3,2018,2023
canadian hip hop,romanian pop,1,2011,2011
canadian hip hop,scorecore,1,2015,2015
canadian hip hop,trap music,2,2017,2018
canadian hip hop,tropical house,1,2014,2014
canadian hip hop,uk funky,1,2016,2016
canadian hip hop,uk pop,1,2013,2013
canadian hip hop,viral trap,1,2015,2015
canadian latin,alabama rap,1,2007,2007
canadian latin,album rock,1,2001,2001
canadian latin,alternative hip hop,1,2001,2001
canadian latin,alternative rock,1,2007,2007
canadian latin,australian pop,2,2001,2007
canadian latin,boy band,1,2002,2002
canadian latin,british soul,1,2007,2007
canadian latin,cali rap,1,2006,2006
canadian latin,canadian pop,1,2001,2001
canadian latin,celtic,1,2001,2001
canadian latin,chicago rap,1,2007,2007
canadian latin,colombian pop,1,2002,2002
canadian latin,conscious hip hop,1,2001,2001
canadian latin,detroit hip hop,2,2006,2007
canadian latin,dirty south rap,1,2007,2007
canadian latin,disco,1,2001,2001
canadian latin,downtempo,1,2001,2001
canadian latin,east coast hip hop,1,2006,2006
canadian latin,g funk,1,2007,2007
canadian latin,gangster rap,2,2006,2007
canadian latin,glam metal,1,2006,2006
canadian latin,hip hop,1,2007,2007
canadian latin,hip pop,1,2007,2007
canadian latin,jam band,1,2001,2001
canadian latin,latin,1,2006,2006
canadian latin,modern rock,1,2007,2007
canadian latin,neo mellow,2,2006,2007
canadian latin,nu metal,1,2006,2006
canadian latin,nyc rap,1,2001,2001
canadian latin,pop,1,2007,2007
canadian latin,pop rap,1,2007,2007
canadian pop,-,7,2002,2022
canadian pop,acoustic pop,6,2002,2013
canadian pop,adult standards,2,2010,2021
canadian pop,afro dancehall,3,2016,2022
canadian pop,alabama rap,1,2007,2007
canadian pop,alaska indie,2,2002,2003
canadian pop,alternative dance,2,2010,2013
canadian pop,alternative hip hop,3,2002,2006
canadian pop,alternative metal,3,2006,2012
canadian pop,alternative r&b,5,2012,2022
canadian pop,alternative rock,4,2002,2010
canadian pop,art pop,2,2013,2022
canadian pop,atl hip hop,7,2002,2022
canadian pop,australian country,4,2004,2021
canadian pop,australian dance,1,2012,2012
canadian pop,australian pop,6,2003,2017
canadian pop,baroque pop,1,2006,2006
canadian pop,bass trap,1,2013,2013
canadian pop,battle rap,2,2003,2004
canadian pop,bergen indie,1,2012,2012
canadian pop,big beat,1,2002,2002
canadian pop,big room,1,2013,2013
canadian pop,blues-rock,2,2003,2004
canadian pop,bmore,1,2015,2015
canadian pop,bounce,1,2004,2004
canadian pop,boy band,8,2002,2021
canadian pop,british soul,5,2003,2017
canadian pop,brostep,3,2015,2021
canadian pop,bubblegum dance,1,2006,2006
canadian pop,cali rap,3,2006,2020
canadian pop,canadian contemporary r&b,3,2020,2022
canadian pop,canadian hip hop,7,2010,2022
canadian pop,canadian latin,3,2002,2007
canadian pop,candy pop,1,2013,2013
canadian pop,ccm,2,2004,2019
canadian pop,celtic,1,2004,2004
canadian pop,celtic rock,2,2010,2013
canadian pop,chamber pop,1,2013,2013
canadian pop,chicago drill,2,2020,2021
canadian pop,chicago rap,10,2003,2021
canadian pop,chicano rap,2,2003,2004
canadian pop,colombian pop,4,2002,2021
canadian pop,comic,1,2013,2013
canadian pop,complextro,4,2013,2018
canadian pop,conscious hip hop,5,2002,2019
canadian pop,contemporary country,5,2006,2021
canadian pop,country rap,4,2019,2022
canadian pop,crunk,6,2002,2022
canadian pop,dance pop,1,2020,2020
canadian pop,dancehall,3,2002,2004
canadian pop,deep pop r&b,1,2012,2012
canadian pop,detroit hip hop,7,2003,2020
canadian pop,dfw rap,3,2016,2022
canadian pop,dirty south rap,7,2004,2019
canadian pop,dutch pop,1,2021,2021
canadian pop,east coast hip hop,3,2004,2020
canadian pop,edm,6,2012,2019
canadian pop,electro,3,2013,2017
canadian pop,electropop,4,2012,2021
canadian pop,emo,3,2006,2013
canadian pop,emo rap,2,2017,2019
canadian pop,escape room,2,2021,2022
canadian pop,eurodance,1,2002,2002
canadian pop,europop,2,2002,2003
canadian pop,florida rap,3,2017,2022
canadian pop,folk rock,1,2003,2003
canadian pop,folk-pop,7,2002,2015
canadian pop,francoton,2,2017,2018
canadian pop,funk,1,2003,2003
canadian pop,g funk,4,2004,2012
canadian pop,gangster rap,7,2002,2016
canadian pop,garage rock,2,2009,2010
canadian pop,gauze pop,2,2021,2022
canadian pop,glam metal,1,2006,2006
canadian pop,gospel r&b,1,2004,2004
canadian pop,hardcore hip hop,1,2004,2004
canadian pop,hip hop,6,2006,2022
canadian pop,hip pop,3,2007,2013
canadian pop,hollywood,1,2019,2019
canadian pop,house,1,2016,2016
canadian pop,idol,2,2003,2006
canadian pop,indie pop,2,2012,2017
canadian pop,indie r&b,1,2018,2018
canadian pop,irish rock,1,2006,2006
canadian pop,jam band,1,2001,2001
canadian pop,k-pop,2,2020,2021
canadian pop,la indie,1,2013,2013
canadian pop,latin,2,2006,2020
canadian pop,latin viral pop,1,2022,2022
canadian pop,miami hip hop,1,2016,2016
canadian pop,modern alternative rock,2,2012,2016
canadian pop,modern rock,7,2002,2021
canadian pop,nashville indie,1,2013,2013
canadian pop,neo mellow,7,2002,2016
canadian pop,neo soul,1,2004,2004
canadian pop,nu metal,1,2006,2006
canadian pop,nyc rap,1,2009,2009
canadian pop,permanent wave,2,2012,2017
canadian pop,pinoy hip hop,2,2015,2016
canadian pop,pop,8,2004,2021
canadian pop,pop edm,1,2013,2013
canadian pop,pop house,1,2002,2002
canadian pop,pop punk,2,2016,2017
canadian pop,pop rap,3,2004,2010
canadian pop,pop rock,2,2012,2016
canadian pop,post-teen pop,1,2010,2010
canadian pop,r&b,4,2002,2010
canadian pop,rap,4,2017,2021
canadian pop,rap conscient,1,2020,2020
canadian pop,reggae fusion,1,2009,2009
canadian pop,reggaeton,2,2019,2021
canadian pop,scorecore,1,2015,2015
canadian pop,soca,1,2004,2004
canadian pop,trap music,3,2017,2020
canadian pop,uk funky,1,2016,2016
canadian pop,uk pop,1,2013,2013
candy pop,-,3,2002,2014
candy pop,acoustic pop,4,2002,2014
candy pop,adult standards,1,2010,2010
candy pop,alaska indie,2,2002,2003
candy pop,alternative dance,2,2010,2013
candy pop,alternative hip hop,2,2002,2003
candy pop,alternative metal,3,2002,2010
candy pop,alternative r&b,1,2014,2014
candy pop,alternative rock,2,2002,2010
candy pop,art pop,2,2013,2014
candy pop,atl hip hop,3,2002,2010
candy pop,australian dance,2,2002,2014
candy pop,australian hip hop,1,2014,2014
candy pop,australian pop,3,2003,2014
candy pop,battle rap,1,2003,2003
candy pop,big beat,1,2002,2002
candy pop,big room,1,2014,2014
candy pop,blues-rock,1,2003,2003
candy pop,boy band,3,2002,2014
candy pop,british soul,1,2003,2003
candy pop,broadway,1,2014,2014
candy pop,cali rap,1,2014,2014
candy pop,canadian country,1,2003,2003
candy pop,canadian hip hop,1,2010,2010
candy pop,canadian latin,1,2002,2002
candy pop,canadian pop,3,2002,2010
candy pop,celtic rock,1,2010,2010
candy pop,chamber pop,1,2013,2013
candy pop,chicago rap,3,2003,2014
candy pop,chicano rap,1,2003,2003
candy pop,colombian pop,2,2002,2014
candy pop,comic,1,2013,2013
candy pop,complextro,1,2014,2014
candy pop,conscious hip hop,2,2002,2003
candy pop,contemporary country,3,2002,2014
candy pop,country,1,2003,2003
candy pop,crunk,2,2002,2003
candy pop,cubaton,1,2014,2014
candy pop,dancehall,2,2002,2003
candy pop,detroit hip hop,4,2002,2014
candy pop,dirty south rap,2,2010,2014
candy pop,edm,2,2013,2014
candy pop,electropop,1,2014,2014
candy pop,emo,2,2010,2013
candy pop,eurodance,1,2002,2002
candy pop,europop,2,2002,2003
candy pop,folk rock,1,2003,2003
candy pop,folk-pop,2,2002,2003
candy pop,funk,1,2003,2003
candy pop,g funk,2,2010,2014
candy pop,gangster rap,1,2002,2002
candy pop,garage rock,1,2010,2010
candy pop,gospel r&b,1,2003,2003
candy pop,hip hop,2,2010,2013
candy pop,hip pop,2,2003,2010
candy pop,house,1,2014,2014
candy pop,idol,1,2003,2003
candy pop,indie pop,1,2010,2010
candy pop,indie poptimism,1,2014,2014
candy pop,la indie,1,2013,2013
candy pop,latin,1,2014,2014
candy pop,latin viral pop,1,2014,2014
candy pop,metropopolis,1,2014,2014
candy pop,modern alternative rock,1,2014,2014
candy pop,modern rock,2,2002,2014
candy pop,motown,1,2003,2003
candy pop,nashville indie,1,2013,2013
candy pop,neo mellow,5,2002,2014
candy pop,neo soul,1,2003,2003
candy pop,nyc rap,1,2014,2014
candy pop,permanent wave,1,2003,2003
candy pop,philly rap,1,2003,2003
candy pop,pop,3,2002,2014
candy pop,pop house,1,2002,2002
candy pop,pop rap,2,2010,2014
candy pop,post-teen pop,1,2010,2010
candy pop,r&b,3,2002,2014
candy pop,tropical house,1,2014,2014
candy pop,uk pop,1,2013,2013
cantautor,colombian pop,1,2005,2005
cantautor,conscious hip hop,1,2005,2005
cantautor,crunk,1,2005,2005
cantautor,detroit hip hop,1,2005,2005
cantautor,emo,1,2005,2005
cantautor,hip hop,1,2005,2005
cantautor,indie rock,1,2005,2005
cantautor,pop,1,2005,2005
ccm,australian country,1,2004,2004
ccm,blues-rock,1,2004,2004
ccm,bounce,1,2004,2004
ccm,chicano rap,1,2004,2004
ccm,dirty south rap,1,2004,2004
ccm,folk-pop,1,2004,2004
ccm,gangster rap,1,2004,2004
ccm,gospel r&b,1,2004,2004
ccm,neo mellow,1,2004,2004
ccm,neo soul,1,2004,2004
ccm,pop,1,2004,2004
ccm,soca,1,2004,2004
celtic,australian country,1,2004,2004
celtic,blues-rock,1,2004,2004
celtic,bounce,1,2004,2004
celtic,canadian pop,1,2001,2001
celtic,ccm,1,2004,2004
celtic,chicano rap,1,2004,2004
celtic,conscious hip hop,1,2001,2001
celtic,detroit hip hop,1,2004,2004
celtic,dirty south rap,1,2004,2004
celtic,downtempo,1,2001,2001
celtic,folk-pop,1,2004,2004
celtic,gangster rap,1,2004,2004
celtic,gospel r&b,1,2004,2004
celtic,hardcore hip hop,1,2004,2004
celtic,jam band,1,2001,2001
celtic,neo mellow,1,2004,2004
celtic,neo soul,1,2004,2004
celtic,nyc rap,1,2001,2001
celtic,pop,1,2004,2004
celtic,soca,1,2004,2004
celtic rock,acoustic pop,1,2010,2010
celtic rock,adult standards,1,2010,2010
celtic rock,alternative dance,2,2010,2013
celtic rock,alternative metal,1,2010,2010
celtic rock,alternative r&b,1,2013,2013
celtic rock,alternative rock,1,2010,2010
celtic rock,art pop,1,2013,2013
celtic rock,australian country,1,2013,2013
celtic rock,bass trap,1,2013,2013
celtic rock,big room,1,2011,2011
celtic rock,british soul,1,2011,2011
celtic rock,canadian hip hop,2,2010,2011
celtic rock,canadian pop,1,2011,2011
celtic rock,candy pop,1,2013,2013
celtic rock,chamber pop,1,2013,2013
celtic rock,chicago rap,1,2010,2010
celtic rock,comic,1,2013,2013
celtic rock,deep dance pop,1,2011,2011
celtic rock,detroit hip hop,2,2010,2011
celtic rock,dirty south rap,1,2011,2011
celtic rock,edm,2,2011,2013
celtic rock,emo,2,2010,2013
celtic rock,folk rock,1,2011,2011
celtic rock,g funk,1,2011,2011
celtic rock,garage rock,1,2010,2010
celtic rock,hip hop,1,2013,2013
celtic rock,hip pop,1,2010,2010
celtic rock,la indie,1,2013,2013
celtic rock,latin,1,2011,2011
celtic rock,nashville indie,1,2013,2013
celtic rock,neo mellow,2,2010,2013
celtic rock,pop,1,2011,2011
celtic rock,pop rock,1,2011,2011
celtic rock,post-teen pop,1,2010,2010
celtic rock,r&b,1,2010,2010
celtic rock,romanian pop,1,2011,2011
celtic rock,uk pop,1,2013,2013
chamber pop,alternative dance,1,2013,2013
chamber pop,art pop,1,2013,2013
chamber pop,comic,1,2013,2013
chamber pop,emo,1,2013,2013
chamber pop,hip hop,1,2013,2013
chamber pop,la indie,1,2013,2013
chamber pop,nashville indie,1,2013,2013
chamber pop,neo mellow,1,2013,2013
chamber pop,uk pop,1,2013,2013
chicago drill,-,4,2020,2023
chicago drill,adult standards,1,2021,2021
chicago drill,afro dancehall,2,2021,2022
chicago drill,alternative r&b,2,2021,2022
chicago drill,art pop,1,2022,2022
chicago drill,atl hip hop,3,2021,2023
chicago drill,atl trap,1,2023,2023
chicago drill,australian country,1,2021,2021
chicago drill,boy band,2,2020,2021
chicago drill,british soul,1,2022,2022
chicago drill,brostep,1,2021,2021
chicago drill,bubblegum dance,1,2023,2023
chicago drill,canadian contemporary r&b,3,2021,2023
chicago drill,canadian hip hop,3,2021,2023
chicago drill,canadian pop,1,2022,2022
chicago drill,chicago rap,1,2021,2021
chicago drill,colombian pop,2,2021,2023
chicago drill,contemporary country,1,2021,2021
chicago drill,country rap,3,2020,2022
chicago drill,crunk,2,2021,2022
chicago drill,dfw rap,2,2022,2023
chicago drill,east coast hip hop,1,2020,2020
chicago drill,electropop,2,2021,2023
chicago drill,escape room,2,2021,2022
chicago drill,florida rap,2,2022,2023
chicago drill,gauze pop,2,2021,2022
chicago drill,glam rock,1,2022,2022
chicago drill,hip hop,4,2020,2023
chicago drill,k-pop,1,2021,2021
chicago drill,latin,1,2020,2020
chicago drill,latin viral pop,1,2022,2022
chicago drill,modern rock,2,2021,2022
chicago drill,philly rap,1,2023,2023
chicago drill,pop,2,2021,2023
chicago drill,rap,1,2021,2021
chicago drill,reggaeton,3,2021,2023
chicago rap,-,7,2004,2021
chicago rap,acoustic pop,4,2003,2010
chicago rap,adult standards,2,2010,2021
chicago rap,alabama rap,1,2007,2007
chicago rap,album rock,1,2015,2015
chicago rap,alternative metal,3,2004,2010
chicago rap,alternative r&b,3,2012,2017
chicago rap,alternative rock,1,2010,2010
chicago rap,art pop,1,2014,2014
chicago rap,atl hip hop,6,2004,2020
chicago rap,australian country,3,2004,2021
chicago rap,australian dance,2,2012,2015
chicago rap,australian pop,4,2004,2017
chicago rap,baroque pop,2,2006,2019
chicago rap,bassline,1,2008,2008
chicago rap,baton rouge rap,1,2008,2008
chicago rap,battle rap,1,2004,2004
chicago rap,bergen indie,1,2012,2012
chicago rap,big room,2,2011,2015
chicago rap,blues-rock,3,2003,2008
chicago rap,bmore,1,2015,2015
chicago rap,bounce,1,2004,2004
chicago rap,boy band,8,2005,2021
chicago rap,british soul,4,2011,2017
chicago rap,broadway,1,2014,2014
chicago rap,brostep,4,2015,2021
chicago rap,cali rap,4,2006,2019
chicago rap,canadian contemporary r&b,2,2015,2020
chicago rap,canadian hip hop,5,2011,2021
chicago rap,canadian latin,1,2006,2006
chicago rap,canadian pop,5,2004,2019
chicago rap,cantautor,1,2005,2005
chicago rap,ccm,2,2004,2019
chicago rap,celtic,1,2004,2004
chicago rap,celtic rock,1,2011,2011
chicago rap,chicago drill,1,2020,2020
chicago rap,chicano rap,3,2003,2008
chicago rap,colombian pop,4,2005,2021
chicago rap,complextro,3,2016,2018
chicago rap,conscious hip hop,5,2005,2019
chicago rap,contemporary country,5,2004,2015
chicago rap,country,1,2000,2000
chicago rap,country rap,3,2019,2021
chicago rap,crunk,6,2004,2021
chicago rap,dance pop,2,2004,2011
chicago rap,dancehall,1,2004,2004
chicago rap,deep dance pop,1,2011,2011
chicago rap,deep groove house,1,2015,2015
chicago rap,deep pop r&b,1,2009,2009
chicago rap,deep southern trap,1,2008,2008
chicago rap,detroit hip hop,7,2004,2020
chicago rap,dfw rap,2,2016,2020
chicago rap,dirty south rap,7,2004,2019
chicago rap,east coast hip hop,6,2004,2020
chicago rap,edm,5,2011,2019
chicago rap,electro,1,2016,2016
chicago rap,electropop,3,2009,2015
chicago rap,electropowerpop,1,2008,2008
chicago rap,emo,4,2005,2015
chicago rap,emo rap,2,2017,2019
chicago rap,escape room,1,2021,2021
chicago rap,florida rap,2,2008,2019
chicago rap,folk rock,1,2011,2011
chicago rap,folk-pop,2,2004,2015
chicago rap,francoton,2,2017,2018
chicago rap,g funk,6,2004,2014
chicago rap,gangster rap,7,2004,2015
chicago rap,garage rock,3,2004,2010
chicago rap,ghanaian hip hop,1,2015,2015
chicago rap,glam metal,1,2006,2006
chicago rap,gospel r&b,1,2004,2004
chicago rap,hardcore hip hop,1,2004,2004
chicago rap,hip hop,4,2005,2020
chicago rap,hip pop,4,2004,2009
chicago rap,hollywood,1,2019,2019
chicago rap,house,1,2014,2014
chicago rap,houston rap,1,2015,2015
