genre,main_genre,artists,degree,strength,betweenness,hits_hub,hits_authority
new jersey rap,HIP HOP,5,13,63,0,0.0012784931448723382,0.00127849314487234
battle rap,HIP HOP,15,10,62,0,0.0013731109391852392,0.001373110939185241
downtempo,ELECTRONIC,9,14,61,14,0.001546729026118957,0.001546729026118958
christian punk,ROCK,7,13,61,0,3.156148899466969e-4,3.1561488994669227e-4
baltimore indie,ROCK,4,15,61,0,0.007774726154795807,0.007774726154795804
vapor soul,R&B,3,16,61,0,0.003069042534631148,0.003069042534631148
hard alternative,ROCK,12,10,60,0,0.0035920200618320395,0.0035920200618320412
classic soundtrack,CLASSICAL,35,12,59,13104,1.8283314554240574e-4,1.8283314554240544e-4
talent show,POP,6,12,59,0,0.002036273341582933,0.002036273341582936
christian uplift,R&B,5,12,59,0,1.8924665673664362e-4,1.8924665673664433e-4
drill,HIP HOP,4,12,59,0,0.0011075960933261233,0.0011075960933261259
lovers rock,ROCK,7,8,58,0,4.3747001322380695e-6,4.374700132236362e-6
emo punk,ROCK,3,13,58,0,0.0028048518972091318,0.002804851897209131
christian indie,ROCK,5,12,58,0,8.38533309765607e-4,8.38533309765608e-4
australian rock,ROCK,14,12,57,948,0.014069874773025185,0.014069874773025176
jazz guitar,JAZZ,4,12,57,0,6.007072509495948e-4,6.007072509495957e-4
dub,REGGAE,15,10,56,0,2.887209814603011e-5,2.887209814602883e-5
chicano rap,HIP HOP,26,12,55,83,6.81259671271567e-4,6.812596712715656e-4
salsa,LATIN,7,9,55,942,2.1100640952193838e-5,2.11006409521955e-5
chicago blues,BLUES,5,11,54,0,0.007328648006161098,0.007328648006161097
harmonica blues,BLUES,6,13,54,0,0.0061692348239987364,0.0061692348239987364
stride,JAZZ,2,16,54,30,4.676503587981963e-4,4.676503587981963e-4
texas blues,BLUES,9,8,54,0,0.008343420559236875,0.008343420559236875
christian hip hop,HIP HOP,18,9,53,1895,4.8756361600179065e-5,4.875636160017921e-5
arkansas country,COUNTRY,13,10,53,0,0.0036127577934531347,0.003612757793453133
scottish rock,ROCK,3,20,53,0,0.011071568333428334,0.01107156833342833
socal pop punk,ROCK,5,11,53,0,0.002141520482408888,0.0021415204824088855
appalachian folk,FOLK,7,10,52,0,0.004330785562246629,0.004330785562246628
celtic rock,ROCK,7,17,52,2736,0.004101569693461944,0.004101569693461943
jazz rap,HIP HOP,10,8,52,0,8.592347911007889e-4,8.592347911007927e-4
trap queen,HIP HOP,3,14,52,0,0.0014375429999250642,0.0014375429999250648
video game music,CLASSICAL,8,4,52,0,1.91655371722454e-7,1.9165537172280426e-7
easycore,ROCK,7,9,51,0,4.926239463658298e-4,4.9262394636583e-4
acoustic blues,BLUES,9,13,51,0,0.003661689205423299,0.0036616892054233017
psychedelic folk,ROCK,4,15,51,0,0.012920753198852376,0.012920753198852372
post-doom metal,ROCK,3,10,50,0,5.078172354110893e-4,5.078172354110856e-4
mambo,JAZZ,8,8,50,1874,1.035042970237404e-5,1.0350429702371778e-5
technical death metal,METAL,4,13,50,0,7.856492657848396e-4,7.85649265784838e-4
show tunes,POP,19,3,50,0,6.881816152581435e-5,6.881816152581547e-5
nu jazz,JAZZ,5,10,49,948.5,4.178305730930065e-4,4.1783057309300475e-4
chicago indie,ROCK,3,20,49,0,0.005921084752288729,0.005921084752288726
scottish indie,ROCK,4,19,49,0,0.008547333724098124,0.008547333724098126
country rap,HIP HOP,14,14,48,0,8.209959846839114e-4,8.209959846839108e-4
banjo,FOLK,8,10,48,0,0.002586162627997997,0.0025861626279979947
country blues,COUNTRY,4,13,48,0,0.007701769531274253,0.007701769531274253
afrobeat,FOLK,9,12,48,13027.5,9.59677639808152e-4,9.596776398081513e-4
louisiana blues,BLUES,3,19,48,5,0.0061714873045960765,0.006171487304596076
bossa nova,LATIN,12,15,48,15844,5.123372895540413e-4,5.123372895540389e-4
etherpop,POP,2,15,48,0,0.004952361962720488,0.004952361962720488
portland indie,ROCK,2,14,48,0,0.007939079400560505,0.007939079400560501
neo-progressive,ROCK,5,7,47,0,0.008724292304896561,0.008724292304896556
christian relaxative,NEW AGE,4,8,47,0,5.245200523410397e-5,5.245200523410695e-5
old school dancehall,REGGAE,11,8,47,0,3.5995631074039703e-6,3.5995631074051425e-06
hardcore,ROCK,4,14,47,1,0.0011648793383364437,0.0011648793383364424
gothic metal,METAL,4,13,47,0,0.00137149223676935,0.0013714922367693487
space rock,ROCK,5,14,47,0,0.004343388704315009,0.004343388704315005
new weird america,FOLK,2,18,47,0,0.006503900626651977,0.006503900626651974
swedish death metal,METAL,4,12,46,0,0.0016258308480767713,0.0016258308480767703
latin metal,METAL,6,12,46,0,0.002491775395764808,0.002491775395764809
scottish new wave,ROCK,3,11,46,0,0.009805661250164292,0.009805661250164284
electronic rock,ROCK,6,17,46,0,0.0056284023551718895,0.005628402355171887
viking metal,METAL,2,16,46,2,8.668491542150332e-4,8.668491542150332e-4
gothic rock,ROCK,5,11,45,0,0.005800725683678718,0.005800725683678713
melodic thrash,METAL,2,12,45,0,0.004016850193754456,0.004016850193754454
indie jazz,ROCK,3,15,44,0,7.267458143948488e-4,7.2674581439485e-4
australian dance,ELECTRONIC,10,15,44,2,0.002832241316838661,0.0028322413168386587
underground rap,HIP HOP,7,10,44,0,3.303135263718657e-4,3.303135263718671e-4
indie pop rap,POP,14,8,43,948,0.0012785138821793359,0.0012785138821793354
black metal,METAL,5,13,43,105,9.737421995255139e-4,9.73742199525512e-4
filter house,ELECTRONIC,5,10,43,0,0.0027304466398562705,0.0027304466398562714
swedish pop,POP,5,12,43,989,0.002490992229749022,0.0024909922297490206
trancecore,ELECTRONIC,6,8,43,0,1.7094129421930195e-4,1.7094129421930102e-4
nu disco,ELECTRONIC,6,12,43,948,0.0032041990544478373,0.003204199054447835
nederpop,POP,3,14,42,2840,0.0077088206510393005,0.007708820651039298
deep disco,ELECTRONIC,31,5,41,0,0.001773760828289775,0.0017737608282897765
epicore,OTHER,7,4,41,0,1.3766268058532498e-7,1.376626805868073e-7
afropop,POP,6,13,40,9338.5,3.152401178747785e-4,3.1524011787477895e-4
broadway,POP,31,3,39,0,4.548821906470145e-5,4.548821906470102e-5
german metal,METAL,3,11,39,0,0.0057464372974650475,0.005746437297465042
electroclash,ELECTRONIC,7,10,38,0,0.0026427202713352593,0.0026427202713352575
intelligent dance music,ELECTRONIC,3,12,38,0.25,0.0011227582338283427,0.0011227582338283414
drone metal,METAL,4,8,38,0,3.393040898035346e-4,3.3930408980353236e-4
progressive metalcore,METAL,3,7,38,0,1.4306825638880734e-4,1.4306825638880658e-4
vocal harmony group,POP,8,9,38,0,0.001870045356091545,0.0018700453560915441
swedish synthpop,POP,3,14,38,0,0.0019326115320490412,0.0019326115320490423
underground power pop,POP,9,5,38,0,0.002708321156392148,0.0027083211563921497
boogaloo,JAZZ,9,6,37,0,5.017329459067989e-6,5.017329459065552e-6
acid jazz,JAZZ,12,11,37,0,8.863722620015811e-4,8.863722620015807e-4
jazz metal,METAL,4,12,37,0,5.710959721998657e-4,5.710959721998665e-4
bow pop,POP,16,16,37,2828,0.0076534974853826095,0.007653497485382606
surf music,ROCK,7,10,37,0,0.003861645232585338,0.003861645232585336
indie anthem-folk,FOLK,3,10,36,0,0.0035910050003675905,0.0035910050003675883
deep adult standards,R&B,11,9,36,0,0.0025106453398979723,0.0025106453398979715
austindie,ROCK,3,10,36,0,0.006569222738115398,0.006569222738115396
operatic pop,POP,16,11,36,18575,9.433397569092403e-4,9.433397569092385e-4
british soundtrack,CLASSICAL,14,5,35,0,3.65082630368339e-7,3.650826303667015e-7
regional mexican pop,POP,8,6,35,0,1.9409443798388294e-7,1.9409443798519354e-7
comedy,OTHER,33,3,34,948,2.727809396989062e-4,2.7278093969890644e-4
neo r&b,R&B,6,10,34,0,6.118387836674235e-4,6.118387836674244e-4
complextro,ELECTRONIC,3,8,34,0,1.7232098493482313e-4,1.723209849348235e-4
midwest emo,ROCK,5,9,34,0,0.001426086781456127,0.0014260867814561264
electro-industrial,ELECTRONIC,4,7,33,1.3333333333333333,3.345325369284003e-4,3.3453253692840014e-4
german techno,ELECTRONIC,6,6,33,0,4.0440579266555883e-4,4.044057926655585e-4
indie electro-pop,POP,2,9,33,0,8.007372816042121e-4,8.007372816042121e-4
compositional ambient,ELECTRONIC,5,13,33,972.3333333333334,0.0011221854957836677,0.0011221854957836662
spanish pop,POP,4,9,33,0,1.7591554532876373e-5,1.759155453287631e-5
swedish indie pop,POP,2,14,33,0,0.003920594120085714,0.003920594120085713
slayer,OTHER,4,10,33,0,0.0010021864927148582,0.001002186492714858
classical,CLASSICAL,17,11,32,6615,1.5291559908050654e-10,1.5291560048295335e-10
alberta country,COUNTRY,7,7,32,0,4.464144078124298e-4,4.4641440781242983e-4
classical performance,CLASSICAL,13,7,32,11282,2.5408411629146907e-8,2.5408411629473256e-8
rock steady,ROCK,6,6,32,0,1.5519580864459584e-4,1.5519580864459614e-4
gymcore,OTHER,4,8,32,0,0.001234774959107989,0.0012347749591079906
modern hard rock,ROCK,9,8,32,948,0.007042966486007807,0.007042966486007801
dark wave,ROCK,5,9,32,0,0.0019201484673444698,0.0019201484673444678
gothenburg indie,ROCK,2,16,32,0,0.0024175434340493306,0.002417543434049328
viral trap,HIP HOP,3,8,32,0,8.736085944185825e-4,8.736085944185821e-4
exotica,OTHER,3,7,31,0,8.066717049924484e-4,8.066717049924504e-4
progressive trance,ELECTRONIC,3,7,31,0,7.547707025926247e-5,7.547707025926234e-5
dutch house,ELECTRONIC,4,9,31,0,3.141105662155214e-4,3.1411056621552134e-4
nwobhm,ROCK,3,9,31,0,0.006956521997816464,0.006956521997816462
canadian folk,FOLK,6,10,31,0,0.011082664474931067,0.011082664474931066
atlanta indie,ROCK,1,14,31,0,0.0029173263122396005,0.0029173263122396
straight edge,ROCK,2,10,31,0,2.6230621380734636e-4,2.6230621380734636e-4
cuban rumba,LATIN,5,6,30,0,3.137459658074925e-6,3.1374596580750742e-6
atl trap,HIP HOP,5,8,30,0,6.117180412876482e-4,6.117180412876479e-4
modern southern rock,ROCK,11,8,30,0,0.002673736599175227,0.002673736599175226
canadian contemporary country,COUNTRY,5,6,30,0,4.3925383152392097e-4,4.392538315239204e-4
ebm,ELECTRONIC,4,7,30,948,2.9280983514370457e-4,2.928098351437048e-4
psychedelic doom,ROCK,3,8,30,0,1.3765735019152241e-4,1.3765735019152263e-4
pagan black metal,METAL,2,12,30,2,4.4298467658818354e-4,4.429846765881834e-4
uk dance,ELECTRONIC,3,9,30,0,4.7013968004593477e-4,4.7013968004593456e-4
canadian ccm,R&B,3,8,29,0,4.5682466451201775e-5,4.568246645120224e-5
trance,ELECTRONIC,3,7,29,0,7.471022010909219e-5,7.47102201090923e-5
moombahton,ELECTRONIC,3,9,29,0,3.100822595407035e-4,3.100822595407023e-4
symphonic black metal,METAL,2,10,29,0,6.231797282367895e-4,6.231797282367892e-4
gospel r&b,R&B,17,5,29,0,2.484358761727509e-4,2.484358761727519e-4
k-pop,POP,10,7,28,4728,2.2313266467336568e-4,2.231326646733652e-4
british singer-songwriter,FOLK,4,8,28,0,0.004655747730203955,0.004655747730203953
chicago house,ELECTRONIC,8,9,28,0,4.33834984735051e-4,4.3383498473505025e-4
chaotic hardcore,ROCK,3,9,28,0,1.598800927991523e-4,1.598800927991513e-4
folk punk,ROCK,4,9,28,948,4.640843790782938e-4,4.640843790782931e-4
piedmont blues,ELECTRONIC,2,11,28,0,0.0042937763879922495,0.004293776387992248
omaha indie,ROCK,2,11,28,0,0.00432530138735848,0.004325301387358478
corrido,OTHER,1,7,28,0,1.7682138062992143e-8,1.7682138062214554e-8
corridos bélicos,OTHER,1,7,28,0,1.768213806374751e-8,1.7682138062212036e-8
corridos tumbados,OTHER,1,7,28,0,1.7682138062470192e-8,1.7682138062216294e-8
música mexicana,OTHER,1,7,28,0,1.7682138062597482e-8,1.768213806221587e-8
shred,OTHER,3,7,28,0,0.0018564955760825288,0.0018564955760825264
ska revival,REGGAE,4,9,28,0,0.0022119587601599675,0.002211958760159965
tejano,LATIN,3,8,28,0,6.565304248785137e-6,6.565304248784114e-6
alternative pop rock,POP,10,4,27,0,2.3805187525544904e-4,2.3805187525544866e-4
abstract hip hop,HIP HOP,13,7,27,0,2.1012473908741414e-4,2.1012473908741498e-4
post-post-hardcore,ROCK,4,6,27,0,1.094015083925822e-4,1.0940150839258284e-4
canadian hip hop,HIP HOP,7,8,27,0,7.010073730516352e-4,7.010073730516365e-4
mpb,LATIN,5,9,27,11717.5,2.0572977658658638e-6,2.0572977658662043e-6
florida death metal,METAL,2,9,27,0,0.001525543723825841,0.0015255437238258398
new orleans blues,BLUES,2,11,27,0,0.0017622329865812306,0.0017622329865812306
breakbeat,ELECTRONIC,5,7,26,0,4.709741958058202e-4,4.7097419580582016e-4
bass trap,HIP HOP,7,5,26,0,3.79450825642924e-5,3.794508256429238e-5
hardcore techno,ELECTRONIC,3,7,26,0,1.8862570777968983e-4,1.8862570777968788e-4
orgcore,ROCK,1,7,26,0,3.498023244093067e-4,3.498023244093066e-4
electropowerpop,POP,5,9,26,0,4.085886376769111e-4,4.0858863767691153e-4
popping,POP,2,9,26,0,0.00117352982720038,0.0011735298272003817
seattle indie,ROCK,2,8,26,0,0.004912794120320832,0.0049127941203208295
vancouver indie,ROCK,1,11,26,0,0.004207436003333316,0.0042074360033333156
celtic,FOLK,14,6,25,1016,2.6683836389399845e-5,2.6683836389398775e-5
chicago drill,HIP HOP,4,8,25,0,4.293524750689293e-4,4.2935247506892916e-4
teen pop,POP,3,6,25,0,7.057468412684895e-4,7.057468412684899e-4
riddim,ELECTRONIC,5,6,25,0,1.3857611824203648e-6,1.3857611824209624e-6
psychedelic blues-rock,ROCK,6,6,24,0,0.006989905098020818,0.006989905098020819
opera,CLASSICAL,5,5,24,13057,4.420909649524702e-6,4.420909649522601e-6
modern ska punk,ROCK,4,6,24,0,2.561761311017152e-4,2.561761311017151e-4
gothic symphonic metal,METAL,3,6,24,0,1.6266835092940273e-4,1.6266835092940374e-4
neo-trad metal,METAL,2,6,24,0,0.002007019773596377,0.0020070197735963767
beach music,R&B,14,9,24,0,0.0010104415776734602,0.0010104415776734594
grave wave,OTHER,2,10,24,0,0.0012900652447441006,0.0012900652447441006
nc hip hop,HIP HOP,5,7,24,0,4.4687098530761185e-4,4.468709853076121e-4
canadian punk,ROCK,3,9,24,1,8.992281990820913e-4,8.992281990820905e-4
trap latino,HIP HOP,3,6,24,0,1.3024251623767039e-5,1.3024251623767034e-5
world,FOLK,3,8,24,4740.5,3.3303840965394717e-6,3.330384096539792e-6
sad sierreño,OTHER,1,7,24,0,1.329840863491924e-8,1.3298408631931004e-8
symphonic metal,METAL,3,6,24,0,1.4905863263819715e-4,1.490586326381964e-4
contemporary gospel,R&B,18,3,23,0,2.999890596216196e-6,2.9998905962164767e-6
ballroom,OTHER,6,5,23,0,8.036144410451766e-4,8.03614441045178e-4
deep regional mexican,LATIN,5,5,23,0,1.2912976397326662e-7,1.2912976397143157e-7
nyc rap,HIP HOP,13,7,23,0,5.877710447888567e-4,5.877710447888587e-4
boston metal,METAL,4,8,23,0,6.01373782131202e-4,6.013737821312013e-4
gothenburg metal,METAL,2,8,23,0,8.416047589425143e-4,8.416047589425154e-4
irish singer-songwriter,FOLK,2,7,23,0,0.002947997211444932,0.002947997211444931
nashville singer-songwriter,COUNTRY,2,9,23,0,0.005478194856314513,0.005478194856314511
toronto rap,HIP HOP,3,7,23,0,6.545487874996457e-4,6.545487874996467e-4
progressive jazz fusion,JAZZ,3,9,23,0,1.907453896753873e-4,1.9074538967538758e-4
australian electropop,POP,2,11,23,0,0.0012564553464684645,0.0012564553464684634
jazz electric bass,JAZZ,4,4,22,0,3.2882877991184016e-4,3.2882877991183957e-4
nu-metalcore,METAL,2,6,22,0,1.2327375982689324e-4,1.2327375982689148e-4
miami bass,R&B,12,4,22,0,7.139417844141887e-5,7.139417844141768e-5
jazz drums,JAZZ,4,9,22,0,1.4737274183830348e-4,1.4737274183830283e-4
german rock,ROCK,2,10,22,0,0.006748243995915852,0.006748243995915849
alternative americana,COUNTRY,4,11,22,0,0.00425175908522461,0.0042517590852246085
technical deathcore,METAL,2,7,22,0,6.402382944165123e-5,6.402382944165028e-5
german hard rock,ROCK,3,6,21,0,0.005794555580594034,0.005794555580594029
ninja,OTHER,2,6,21,0,1.6198882986173682e-4,1.6198882986173606e-4
modern reggae,REGGAE,4,6,21,0,1.127761937517167e-6,1.1277619375160677e-6
deep groove house,ELECTRONIC,3,8,21,0,1.5534739959617916e-4,1.5534739959617938e-4
nwothm,ROCK,2,6,21,0,0.0018581359404208945,0.0018581359404208938
irish rock,ROCK,5,9,21,0,0.004801192231692185,0.004801192231692182
memphis blues,BLUES,1,10,21,0,0.002117345596064558,0.0021173455960645585
praise,R&B,7,2,21,0,2.6700881373494796e-6,2.670088137349484e-6
sertanejo universitario,LATIN,3,5,21,1436.1666666666665,1.3928158222796384e-9,1.3928158220773844e-9
riot grrrl,ROCK,2,10,21,0,0.0023492936556988265,0.002349293655698826
chicago punk,ROCK,5,7,20,0,3.370531724431727e-4,3.370531724431732e-4
louisiana metal,METAL,2,7,20,0,5.158696911339825e-4,5.158696911339816e-4
bounce,ELECTRONIC,5,7,20,0,3.7618093542164926e-4,3.761809354216483e-4
deep house,ELECTRONIC,2,9,20,0,7.919649080330749e-5,7.919649080330725e-5
shiver pop,POP,2,10,20,0,0.002610238841576303,0.002610238841576302
bachata,LATIN,7,4,19,0,1.8234695832992834e-5,1.8234695832992858e-5
dirty texas rap,HIP HOP,8,4,19,0,2.1852052235849518e-4,2.1852052235849607e-4
movie tunes,CLASSICAL,6,4,19,6,1.8785861631413235e-5,1.8785861631412253e-5
new age,NEW AGE,8,7,19,4724,0.0021163237517210203,0.002116323751721018
alabama rap,HIP HOP,5,7,19,0,4.2167061459450226e-4,4.2167061459450275e-4
birmingham metal,METAL,3,6,19,0,0.0068578471557486954,0.006857847155748691
finnish metal,METAL,2,7,19,0,4.058280890032969e-4,4.0582808900329606e-4
soca,REGGAE,6,3,19,0,2.513749077731332e-6,2.513749077730482e-6
uplifting trance,ELECTRONIC,2,5,19,0,1.8141316748130333e-5,1.8141316748129375e-5
twee pop,POP,3,7,19,0,0.0027875486021344924,0.0027875486021344924
sierreño,OTHER,1,7,19,0,8.89999382228211e-9,8.899993821739766e-9
alabama metal,METAL,6,6,18,0,6.850371267514671e-5,6.850371267514555e-5
p funk,R&B,6,5,18,0,9.110518362489559e-4,9.110518362489583e-4
black thrash,METAL,2,7,18,0,5.814978627684473e-4,5.814978627684467e-4
native american,FOLK,2,7,18,0,0.006511311370240312,0.00651131137024031
funk carioca,R&B,4,6,18,2848,1.288230469633741e-11,1.2882305214539532e-11
delta blues,BLUES,2,7,18,0,0.0027172301963856206,0.002717230196385621
folktronica,ELECTRONIC,2,9,18,0,0.0011352891524081447,0.0011352891524081447
nyc pop,POP,4,8,18,0,0.0012695806996652712,0.0012695806996652712
christian trap,HIP HOP,11,2,18,0,3.4017428821486406e-6,3.401742882147807e-6
southern soul blues,R&B,4,5,18,0,5.792748413280065e-4,5.792748413280061e-4
space age pop,POP,5,6,18,0,2.103649082055837e-4,2.1036490820558427e-4
swedish americana,COUNTRY,1,7,18,0,0.0031686153797375453,0.0031686153797375436
nintendocore,ROCK,2,6,17,0,2.054649588212336e-4,2.0546495882123254e-4
brit funk,R&B,7,7,17,0,7.310380585856257e-4,7.310380585856267e-4
deep christian rock,ROCK,3,4,17,0,2.557524688145175e-5,2.5575246881450357e-5
jamgrass,FOLK,2,5,17,0,0.0015794895789438587,0.0015794895789438582
uk worship,R&B,2,6,17,0,1.955331456385298e-5,1.9553314563852736e-5
finnish death metal,METAL,2,7,17,0,3.70472233373411e-4,3.7047223337341077e-4
pagode,LATIN,3,7,17,2815.666666666667,6.906505829093682e-7,6.906505829080256e-7
drum and bass,ELECTRONIC,2,7,17,0,1.0827692856805428e-4,1.082769285680539e-4
comic metal,METAL,3,7,17,0,0.0021790417152503837,0.002179041715250381
salsa international,LATIN,3,6,17,0,1.985689289582995e-6,1.9856892895825947e-6
quebec indie,ROCK,2,7,17,0,0.002883731521707099,0.002883731521707098
sacramento indie,ROCK,2,7,17,0,0.003822480910921181,0.0038224809109211775
spanish pop rock,POP,4,5,17,0,1.0821894093095466e-5,1.0821894093094604e-5
smooth saxophone,OTHER,6,3,17,0,5.038613004587232e-5,5.038613004587193e-5
trap soul,HIP HOP,2,6,17,0,4.552591948238045e-4,4.5525919482380505e-4
swedish singer-songwriter,FOLK,3,7,17,0,0.0023287301718503627,0.002328730171850362
jazz organ,JAZZ,4,4,16,0,1.3101655644905e-4,1.3101655644905027e-4
emo rap,HIP HOP,6,4,16,0,3.22429297776505e-5,3.224292977765022e-5
jump blues,BLUES,3,6,16,0,3.9325771786966084e-4,3.932577178696604e-4
colombian pop,POP,5,6,16,0,2.636285408507755e-4,2.6362854085077586e-4
metal guitar,METAL,2,6,16,0,0.0017480977157850561,0.0017480977157850546
canadian post-hardcore,ROCK,3,7,16,0,1.9760404104004917e-4,1.9760404104004898e-4
outsider,OTHER,3,8,16,0,0.0027028297693670986,0.002702829769367097
swamp pop,POP,6,8,16,948,0.0016186000329239387,0.0016186000329239383
bolero,LATIN,9,4,15,0,9.402758398830965e-6,9.402758398830997e-6
melodic deathcore,METAL,4,3,15,0,6.0305478358813294e-5,6.0305478358812745e-5
instrumental funk,R&B,5,5,15,0,4.476477344840441e-4,4.476477344840451e-4
hopebeat,OTHER,4,4,15,0,0.002008129887081653,0.002008129887081651
minnesota hip hop,HIP HOP,5,5,15,0,9.469547210892736e-5,9.469547210892692e-5
piano blues,BLUES,2,7,15,0,4.696163471548143e-4,4.6961634715481446e-4
krautrock,ROCK,3,6,15,0,0.0017952460068534062,0.0017952460068534043
goregrind,METAL,2,6,15,0,3.1791590041359513e-4,3.1791590041359405e-4
melodic hard rock,ROCK,4,4,15,0,0.003346331597941197,0.003346331597941196
tribal house,ELECTRONIC,2,4,14,0,8.937328165188721e-6,8.937328165188997e-6
idol,POP,21,5,14,0,8.770229243907311e-4,8.770229243907319e-4
deep underground hip hop,HIP HOP,6,5,14,0,2.7645008695671003e-4,2.764500869567106e-4
la pop,POP,3,6,14,0,7.588748146487064e-4,0.00075887481464870525
folk metal,METAL,2,6,14,0,2.3291838564727427e-4,2.3291838564727443e-4
dubstep,ELECTRONIC,2,5,14,0,1.901047185433946e-5,1.9010471854339742e-5
progressive sludge,METAL,2,6,14,0,2.9105247693264955e-4,2.9105247693264987e-4
oxford indie,ROCK,2,6,14,0,0.0038993513918875434,0.0038993513918875408
jazz double bass,JAZZ,2,7,14,0,6.0521371653433674e-5,6.052137165343298e-5
new orleans jazz,JAZZ,2,6,14,0,3.1750467975416854e-5,3.1750467975416176e-5
idaho indie,ROCK,1,7,14,0,0.002328112830877717,0.0023281128308777163
collage pop,POP,1,7,14,0,0.0014745445541495528,0.0014745445541495532
albuquerque indie,ROCK,2,7,14,0,0.0026858041951737916,0.0026858041951737907
christelijk,OTHER,1,7,14,0,1.4278461771301048e-5,1.4278461771300377e-5
norwegian black metal,METAL,2,7,14,0,2.2002056564312544e-4,2.2002056564312533e-4
norwegian metal,METAL,2,7,14,0,2.2002056564312595e-4,2.2002056564312533e-4
lgbtq+ hip hop,HIP HOP,4,5,14,0,2.3921177454085425e-4,2.392117745408547e-4
electro corridos,OTHER,1,7,14,0,8.844034561933483e-9,8.844034561248632e-9
southern gospel,R&B,12,2,14,0,2.6507531998255616e-4,2.6507531998255557e-4
irish folk,FOLK,7,2,14,0,1.6553295621854042e-5,1.6553295621853354e-5
uk metalcore,METAL,2,4,14,0,7.344652486204913e-5,7.344652486204888e-5
sheffield indie,ROCK,1,5,14,0,0.004004803148228939,0.004004803148228936
welsh rock,ROCK,2,7,14,0,0.003894914138246375,0.003894914138246371
psychobilly,ROCK,3,4,13,0,5.290915635133344e-4,5.290915635133337e-4
dark trap,HIP HOP,6,4,13,0,2.822967755891784e-5,2.8229677558917806e-5
healing,NEW AGE,7,4,13,2838,7.056486595966029e-6,7.056486595965227e-6
australian metalcore,METAL,3,3,13,0,7.750014796757396e-5,7.750014796757327e-5
boston hardcore,ROCK,2,5,13,0,1.4516778106908683e-5,1.4516778106908436e-5
deep melodic metalcore,METAL,1,5,13,0,5.6510161750692165e-5,5.65101617506911e-5
ambient,ELECTRONIC,4,6,13,0,1.0227277851689331e-4,1.0227277851689285e-4
denton tx indie,ROCK,1,6,13,0,0.0020164000081337305,0.002016400008133729
experimental hip hop,HIP HOP,3,5,13,0,3.154667811743389e-4,3.154667811743393e-4
cantautor,FOLK,3,6,13,0,6.6439511541491675e-6,6.643951154148665e-6
ethereal wave,ELECTRONIC,2,6,13,0,9.594623101019704e-4,9.594623101019702e-4
new orleans funk,R&B,2,5,13,0,4.328257881395594e-4,0.00043282578813955965
nz pop,POP,1,6,13,0,5.543326561628815e-4,5.543326561628824e-4
scandipop,POP,2,6,13,0,3.4349767341715115e-4,3.4349767341715137e-4
samba,LATIN,4,4,13,0,1.7156062530454434e-6,1.715606253044602e-6
deep soft rock,ROCK,21,1,12,0,0.001051962708442904,0.0010519627084429036
sertanejo pop,POP,2,3,12,0,8.061992938759557e-12,8.06199291037116e-12
sertanejo,LATIN,3,3,12,0,9.267235030835636e-10,9.267235026670646e-10
classical tenor,CLASSICAL,4,3,12,0,3.1617915462650616e-6,3.1617915462643293e-6
oi,ROCK,2,4,12,0,2.2452838839284804e-4,2.2452838839284717e-4
latin rock,ROCK,2,5,12,0,4.7426573216985066e-6,4.742657321698957e-6
nyhc,ROCK,2,5,12,0,3.291341207500084e-4,3.2913412075000887e-4
forro,LATIN,3,5,12,0,6.906465658600012e-7,6.906465658598022e-7
canadian hardcore,ROCK,3,5,12,0,4.474307531474433e-5,4.474307531474442e-5
american shoegaze,ROCK,2,6,12,0,3.9796169176400904e-4,3.9796169176400936e-4
dreamgaze,OTHER,2,6,12,0,3.979616917640101e-4,3.9796169176400925e-4
jazztronica,JAZZ,1,6,12,0,3.1956501379973784e-4,3.195650137997385e-4
el paso indie,ROCK,2,6,12,0,0.0014232900435037059,0.0014232900435037048
norwegian pop,POP,3,5,12,0,3.554768383177841e-4,3.554768383177835e-4
danish metal,METAL,2,6,12,0,0.001944869089752694,0.001944869089752693
canadian electropop,POP,1,6,12,0,4.6438465634297696e-4,4.6438465634297696e-4
afrobeats,OTHER,1,4,12,0.5,3.1974953927388576e-6,3.197495392738338e-6
k-pop girl group,POP,3,3,12,0,1.6773389238871383e-4,1.6773389238871345e-4
swedish hard rock,ROCK,2,5,12,0,0.004114740602371695,0.004114740602371692
washington indie,ROCK,1,6,12,0,0.0023023213395912865,0.0023023213395912856
canadian contemporary r&b,R&B,4,4,11,0,4.35794128220608e-4,4.3579412822060865e-4
catstep,ELECTRONIC,2,4,11,0,2.0144857988370552e-5,2.0144857988370034e-5
cowpunk,ROCK,6,4,11,0,0.0021418900821137195,0.0021418900821137186
dutch prog,ROCK,2,5,11,0,0.0024515676046512817,0.002451567604651281
modern salsa,LATIN,3,4,11,0,8.061179807227272e-6,8.061179807227218e-6
melodic rap,OTHER,1,3,11,0,3.464024191971537e-4,3.464024191971551e-4
deep east coast hip hop,HIP HOP,8,2,10,0,1.0656202614615478e-4,1.0656202614615507e-4
acid house,ELECTRONIC,7,3,10,0,6.147170476509754e-5,6.14717047650971e-5
clean comedy,OTHER,6,2,10,0,5.3332993746071235e-5,5.33329937460711e-5
flamenco,LATIN,6,3,10,1894,4.441841385352428e-9,4.4418413853537135e-9
axe,LATIN,4,4,10,1.3333333333333333,5.509080290919348e-9,5.509080290243124e-9
